,French,English
0,venez,come
1,frère,brother
2,rester,to stay
3,fini,finished
4,ville,city
5,nouveau,new
6,truc,thing
7,tiens,take
8,mois,month
9,eux,them
10,mec,guy
11,yeux,eyes
12,laisse,leash
13,super,Great
14,belle,beautiful
15,longtemps,long time
16,police,police
17,eau,water
18,heures,time
19,car,because
20,importe,imported
21,cas,case
22,vont,are going
23,chaque,each
24,terre,Earth
25,place,square
26,tué,kill
27,type,type
28,main,hand
29,pardon,sorry
30,ensemble,together
31,seulement,only
32,guerre,war
33,vers,toward
34,mme,Mrs
35,prie,pray
36,devant,before
37,trouve,find
38,partie,part
39,suite,following
40,compris,understood
41,matin,morning
42,leurs,their
43,aucun,no
44,arrivé,come
45,dessus,above
46,chérie,Dear
47,mettre,to put
48,aide,aid
49,étaient,were
50,ie,ie
51,perdu,lost
52,fin,end
53,sois,be
54,premier,first
55,genre,kind
56,aimerais,would like to
57,droit,law
58,donne,given
59,attendez,wait
60,jeune,young
61,feu,fire
62,devrais,should
63,enfant,child
64,chambre,bedroom
65,gros,fat
66,côté,side
67,venu,came
68,loin,far
69,laisser,let
70,donner,to give
71,jouer,to play
72,savais,knew
73,parlé,speak
74,minutes,minutes
75,regardez,look
76,train,train
77,première,first
78,pouvoir,to be able to
79,aura,will have
80,mourir,to die
81,dernière,last
82,donné,given
83,ia,IA
84,mari,husband
85,écoute,listen
86,enfin,finally
87,devrait,should
88,mis,put
89,film,movie
90,aucune,none
91,fort,strong
92,façon,way
93,pays,country
94,prêt,ready
95,madame,Mrs
96,femmes,women
97,affaire,case
